Label	Gene
696	HIST1H1C
697	HIST1H1D
698	HIST1H1E
699	HIST1H1T
700	HIVEP1
701	HIVEP2
702	HIVEP3
703	HKR1
704	HLA-DQB1
705	HLA-DQB2
706	HLA-DRB1
707	HLA-DRB3
708	HLA-DRB5
709	HLF
710	HLTF
711	HLX
712	HMBOX1
713	HMG20A
714	HMG20B
715	HMGA1
716	HMGA2
717	HMGB1
718	HMGB2
719	HMGB3
720	HMGB4
721	HMGN1
722	HMGN3
723	HMGXB3
724	HMGXB4
725	HMOX1
726	HMX1
727	HMX2
728	HMX3
729	HNF1A
730	HNF1B
731	HNF4A
732	HNF4G
733	HNRNPA1
734	HNRNPA3
735	HNRNPAB
736	HNRNPCL2
737	HNRNPD
738	HNRNPDL
739	HNRNPK
740	HNRNPL
741	HNRNPU
742	HOMEZ
743	HOOK2
744	HOPX
745	HOXA1
746	HOXA10
747	HOXA11
748	HOXA13
749	HOXA2
750	HOXA3
751	HOXA4
752	HOXA5
753	HOXA6
754	HOXA7
755	HOXA9
756	HOXB1
757	HOXB13
758	HOXB2
759	HOXB3
760	HOXB4
761	HOXB5
762	HOXB6
763	HOXB7
764	HOXB8
765	HOXB9
766	HOXC10
767	HOXC11
768	HOXC12
769	HOXC13
770	HOXC4
771	HOXC5
772	HOXC6
773	HOXC8
774	HOXC9
775	HOXD1
776	HOXD10
777	HOXD11
778	HOXD12
779	HOXD13
780	HOXD3
781	HOXD4
782	HOXD8
783	HOXD9
784	HP1BP3
785	HR
786	HSBP1
787	HSF1
788	HSF2
789	HSF4
790	HSF5
791	HSFX1
792	HSFX2
793	HSFY1
794	HSFY2
795	HSPA1A
796	HSPA1B
797	ICAM1
798	ID1
799	ID2
800	ID3
801	ID4
802	IFI16
803	IFNB1
804	IGHM
805	IKBKB
806	IKBKG
807	IKZF1
808	IKZF2
809	IKZF3
810	IKZF4
811	IKZF5
812	IL10
813	IL1B
814	IL1RAP
815	IL4
816	IL5
817	IL6
818	INF2
819	ING4
820	INS
821	INSM1
822	INSM2
823	IQGAP1
824	IRAK1
825	IRAK2
826	IRAK3
827	IRF1
828	IRF2
829	IRF2BP1
830	IRF3
831	IRF4
832	IRF5
833	IRF6
834	IRF7
835	IRF8
836	IRF9
837	IRX1
838	IRX2
839	IRX3
840	IRX4
841	IRX5
842	IRX6
843	ISL1
844	ISL2
845	ISX
846	ITCH
847	ITGB2
848	ITGB3BP
849	IZUMO2
850	JADE1
851	JAK2
852	JARID2
853	JAZF1
854	JDP2
855	JMY
856	JRK
857	JRKL
858	JUN
859	JUNB
860	JUND
861	JUP
862	KANSL2
863	KAT2A
864	KAT2B
865	KAT5
866	KAT6A
867	KAT6B
868	KAT7
869	KAT8
870	KCMF1
871	KCNIP3
872	KDM1A
873	KDM2A
874	KDM2B
875	KDM3A
876	KDM5A
877	KDM5B
878	KDM5C
879	KDM5D
880	KEAP1
881	KIAA1549
882	KIAA1683
883	KIAA1841
884	KIAA1958
885	KIF15
886	KIN
887	KIT
888	KLF1
889	KLF10
890	KLF11
891	KLF12
892	KLF13
893	KLF14
894	KLF15
895	KLF16
896	KLF17
897	KLF2
898	KLF3
899	KLF4
900	KLF5
901	KLF6
902	KLF7
903	KLF8
904	KLF9
905	KMT2A
906	KMT2B
907	KMT2C
908	KMT2D
909	KNTC1
910	KRAS
911	KRBOX1
912	KRT13
913	KRTAP5-1
914	KRTAP5-9
915	KRTAP9-9
916	L3MBTL1
917	L3MBTL3
918	L3MBTL4
919	LARP1
920	LARP1B
921	LARP4
922	LARP4B
923	LARP6
924	LARP7
925	LBX1
926	LBX2
927	LCOR
928	LCORL
929	LEF1
930	LEUTX
931	LGALS9
932	LGR4
933	LHX1
934	LHX2
935	LHX3
936	LHX4
937	LHX5
938	LHX6
939	LHX8
940	LHX9
941	LIG1
942	LIG3
943	LIN28A
944	LIN28B
945	LIN54
946	LMO2
947	LMO4
948	LMX1A
949	LMX1B
950	LPP
951	LRP5
952	LRP6
953	LRP8
954	LRRFIP1
955	LRRFIP2
956	LSR
957	LTF
958	LTN1
959	LYAR
960	LYL1
961	LZTFL1
962	LZTR1
963	LZTS1
964	MACC1
965	MACF1
966	MAD2L2
967	MAEL
968	MAF
969	MAFA
970	MAFB
971	MAFF
972	MAFG
973	MAFK
974	MALT1
975	MAML1
976	MAML3
977	MAP2K5
978	MAP3K10
979	MAP3K13
980	MAP3K7
981	MAPK1
982	MAPK10
983	MAPK11
984	MAPK14
985	MAPK3
986	MAPK8
987	MAPK9
988	MATR3
989	MAVS
990	MAX
991	MAZ
992	MB21D1
993	MBD1
994	MBD2
995	MBD3
996	MBD4
997	MBD6
998	MBNL1
999	MBNL2
1000	MBNL3
1001	MBTPS2
1002	MDFI
1003	MDM2
1004	MDM4
1005	MECOM
1006	MECP2
1007	MED1
1008	MED12
1009	MED13
1010	MED13L
1011	MED14
1012	MED15
1013	MED16
1014	MED17
1015	MED21
1016	MED23
1017	MED24
1018	MED6
1019	MEF2A
1020	MEF2B
1021	MEF2C
1022	MEF2D
1023	MEIS1
1024	MEIS2
1025	MEIS3
1026	MEN1
1027	MEOX1
1028	MEOX2
1029	MESP1
1030	MESP2
1031	MET
1032	MGA
1033	MGMT
1034	MID2
1035	MIER1
1036	MIER2
1037	MIER3
1038	MINK1
1039	MIS18BP1
1040	MITF
1041	MIXL1
1042	MKL1
1043	MKL2
1044	MKRN1
1045	MKRN2
1046	MKRN3
1047	MKX
1048	MLLT1
1049	MLLT10
1050	MLLT11
1051	MLLT3
1052	MLLT6
1053	MLX
1054	MLXIP
1055	MLXIPL
1056	MN1
1057	MNAT1
1058	MNT
1059	MNX1
1060	MORC3
1061	MPG
1062	MRPL28
1063	MRRF
1064	MSANTD1
1065	MSANTD3
1066	MSANTD4
1067	MSC
1068	MSGN1
1069	MSH2
1070	MSH3
1071	MSH6
1072	MSL3
1073	MSRB2
1074	MST1R
1075	MSX1
1076	MSX2
1077	MTA1
1078	MTA2
1079	MTA3
1080	MTDH
1081	MTERF1
1082	MTERF2
1083	MTERF3
1084	MTERF4
1085	MTF1
1086	MTF2
1087	MTPN
1088	MUS81
1089	MXD1
1090	MXD3
1091	MXD4
1092	MXI1
1093	MYB
1094	MYBBP1A
1095	MYBL1
1096	MYBL2
1097	MYC
1098	MYCBP
1099	MYCL
1100	MYCN
1101	MYD88
1102	MYEF2
1103	MYF5
1104	MYF6
1105	MYNN
1106	MYOCD
1107	MYOD1
1108	MYOG
1109	MYPOP
1110	MYRF
1111	MYRFL
1112	MYSM1
1113	MYT1
1114	MYT1L
1115	MZF1
1116	NAB2
1117	NABP2
1118	NACC2
1119	NAIF1
1120	NANOG
1121	NANOGNB
1122	NANOGP8
1123	NCOA1
1124	NCOA2
1125	NCOA3
1126	NCOA4
1127	NCOA5
1128	NCOA6
1129	NCOA7
1130	NCOR1
1131	NCOR2
1132	NDC80
1133	NDN
1134	NDP
1135	NEB
1136	NEIL1
1137	NEUROD1
1138	NEUROD2
1139	NEUROD4
1140	NEUROD6
1141	NEUROG1
1142	NEUROG2
1143	NEUROG3
1144	NFAM1
1145	NFAT5
1146	NFATC1
1147	NFATC2
1148	NFATC3
1149	NFATC4
1150	NFE2
1151	NFE2L1
1152	NFE2L2
1153	NFE2L3
1154	NFE4
1155	NFIA
1156	NFIB
1157	NFIC
1158	NFIL3
1159	NFIX
1160	NFKB1
1161	NFKB2
1162	NFKBIA
1163	NFKBIB
1164	NFKBID
1165	NFKBIL1
1166	NFKBIZ
1167	NFRKB
1168	NFX1
1169	NFXL1
1170	NFYA
1171	NFYB
1172	NFYC
1173	NHLH1
1174	NHLH2
1175	NKRF
1176	NKX1-1
1177	NKX1-2
1178	NKX2-1
1179	NKX2-2
1180	NKX2-3
1181	NKX2-4
1182	NKX2-5
1183	NKX2-6
1184	NKX2-8
1185	NKX3-1
1186	NKX3-2
1187	NKX6-1
1188	NKX6-2
1189	NKX6-3
1190	NLRC3
1191	NLRC4
1192	NLRC5
1193	NLRP12
1194	NLRP2B
1195	NLRP3
1196	NME2
1197	NOBOX
1198	NOC3L
1199	NOC4L
1200	NOCT
1201	NOD1
1202	NOD2
1203	NODAL
1204	NONO
1205	NOP2
1206	NOTCH1
1207	NOTCH2
1208	NOTCH3
1209	NOTO
1210	NPAS1
1211	NPAS2
1212	NPAS3
1213	NPAS4
1214	NPM1
1215	NR0B1
1216	NR0B2
1217	NR1D1
1218	NR1D2
1219	NR1H2
1220	NR1H3
1221	NR1H4
1222	NR1I2
1223	NR1I3
1224	NR2C1
1225	NR2C2
1226	NR2E1
1227	NR2E3
1228	NR2F1
1229	NR2F2
1230	NR2F6
1231	NR3C1
1232	NR3C2
1233	NR4A1
1234	NR4A2
1235	NR4A3
1236	NR5A1
1237	NR5A2
1238	NR6A1
1239	NRBF2
1240	NRF1
1241	NRG1
1242	NRIP1
1243	NRIP3
1244	NRK
1245	NRL
1246	NSD1
1247	NSD2
1248	NTRK1
1249	NUCKS1
1250	NUFIP1
1251	NUP98
1252	NUPL2
1253	OGG1
1254	OLIG1
1255	OLIG2
1256	OLIG3
1257	ONECUT1
1258	ONECUT2
1259	ONECUT3
1260	OPRD1
1261	OSR1
1262	OSR2
1263	OTOP3
1264	OTP
1265	OTULIN
1266	OTX1
1267	OTX2
1268	OVOL1
1269	OVOL2
1270	OVOL3
1271	PA2G4
1272	PABPN1
1273	PARK7
1274	PARP1
1275	PARP10
1276	PARP12
1277	PATZ1
1278	PAWR
1279	PAX1
1280	PAX2
1281	PAX3
1282	PAX4
1283	PAX5
1284	PAX6
1285	PAX7
1286	PAX8
1287	PAX9
1288	PAXBP1
1289	PAXIP1
1290	PBRM1
1291	PBX1
1292	PBX2
1293	PBX3
1294	PBX4
1295	PCBD1
1296	PCBP1
1297	PCBP2
1298	PCBP3
1299	PCGF2
1300	PCGF6
1301	PCNA
1302	PCSK6
1303	PDCD7
1304	PDS5B
1305	PDX1
1306	PEG3
1307	PELI1
1308	PER1
1309	PER2
1310	PER3
1311	PEX14
1312	PFDN1
1313	PGBD1
1314	PGR
1315	PGS1
1316	PHB
1317	PHB2
1318	PHF1
1319	PHF19 
1320	PHF20
1321	PHF21A
1322	PHF5A
1323	PHOX2A
1324	PHOX2B
1325	PHTF1
1326	PHTF2
1327	PIAS1
1328	PIAS2
1329	PIAS3
1330	PIAS4
1331	PIDD1
1332	PIKFYVE
1333	PIM1
1334	PIN1
1335	PINK1
1336	PITX1
1337	PITX2
1338	PITX3
1339	PKHD1
1340	PKHD1L1
1341	PKNOX1
1342	PKNOX2
1343	PLA2G10
1344	PLA2G1B
1345	PLAG1
1346	PLAGL1
1347	PLAGL2
1348	PLEK
1349	PLEK2
1350	PLEKHA4
1351	PLPP3
1352	PLSCR1
1353	PLXNA1
1354	PLXNA2
1355	PLXNA3
1356	PLXNA4
1357	PLXNB1
1358	PLXNB2
1359	PLXNB3
1360	PLXNC1
1361	PLXND1
1362	PML
1363	PMS1
1364	PNKP
